Premise 1,Premise 2,Syllogistic relation
Chemically-poisoned alchoholic beverage  killed the commissioner instantly.,Joker mixed the whiskey of the commissioner with corrosive agent.,yes
Social media is a natural place to reach new and highly targeted potential customers.,Reaching new and highly targeted potential customers helps to increase brand awareness.,yes
Factories manufacturing chemicals are often called plants,"plants may have most of their equipment – tanks, pressure vessels, chemical reactors, pumps and piping – outdoors and operated from control rooms",yes
A very human need is that all of us have to be seen by ourselves and others as capable and competent and and we will actually sacrifice or trade off other needs to meet that need.,Procrastination is rooted in a very human need.,yes
Wind carries the flower spores within far distances to land on other flowers’ stigma.,The Stigma on the flowers has the role of reproduction.,yes
Extreme pressure on the essential foundation is linked to global climate change,Understanding the bathymetry and geological history of the Arctic is an important part of understanding global climate change.,no
The company has introduced the dementia drug testing of its employees for their old mother.,Her mother is already taking a frequently prescribed dementia drug because of Alzheimer’s.,no
For small businesses a suitable marketing model is the one that comes with the smallest cost,Do you think he is suitable for a marketing model?,no
Phosphorus is a fertilizer with high nutrient efficiency which can be absorbed by plants.,Vitamin D increases the efficiency of the intestine to absorb calcium and phosphorus from food.,no
Insulin resistance causes blood sugar levels to rise and strongly increases your risk of diabetes.,Prolong high-sugar consumption drives resistance to insulin.,yes
"Ozone at ground level, is one of the main pollutans.",The reaction of sunlight with pollutants from vehicle emissions cause ozone at ground level.,yes
Eye irritation can be avoided by getting away from onion gas spread. ,Instruct client to avoid drinking very hot or cold liquids to avoid spreaded irritation of phrenic nerve.,no
